Numero_Vente,Identifiant_Client,Identifiant_Produit,Quantité
7d8859d2-835e-4ce7-8d0f-2f9e8f3e4dfc,183,452,9
7b7a81da-9840-4f13-a521-a56d7df49495,423,169,6
39fd12d1-f47c-4217-99b5-2d39adfd8054,805,362,5
d676718d-dd26-4323-8f48-8714410bc376,707,242,5
7186ed5b-824d-49e1-b765-566292045dbe,424,113,7
7a72ece7-7d4d-474f-9a18-22d0eae73aac,810,117,6
ca37a1c1-c75f-4432-b691-640345befe17,54,229,9
4a149bda-2f15-403d-b3a4-771f4adb2244,606,280,5
3f41821f-bae0-4def-aad8-f5d0ee77b071,364,112,6
0a35b9ed-5bb7-47f1-91fa-a41190ac6176,207,359,9
f1d81224-e14a-429e-a30d-d0657d16640c,575,339,2
f3308169-3be1-4f69-a33d-2fc3db1559ba,833,148,2
d09fe0ae-2668-4f6b-9640-2b7814830e3c,456,181,9
4ac6c59a-1af3-49cf-8b4c-820c8d19a584,642,420,6
934fb306-49f0-4139-9d05-e0b578bc66a7,347,190,7
8b33b46b-0bbc-4939-ab43-53ca7d732157,109,107,8
9f1df0ed-e0e8-4374-bbad-65335611e8da,352,127,5
59336cf7-8c47-41aa-8d2d-6471da69c38b,645,17,9
0bb31aa4-068a-4981-b999-2393c818b28e,772,417,6
8d1b703e-a751-4fe1-854e-4674e94ea534,508,63,9
3a97f268-2f00-4b1c-844e-449cdcb565ff,877,181,3
2bea5aa8-d8c4-4e19-8627-35a67025c9bd,243,464,5
ef291317-049c-47e8-ba4c-1e81e9d40dd3,16,473,8
7e6f5196-b63e-4e2b-962e-d8dc75bf7f77,325,109,1
291710e5-0b48-496e-8acf-517b6fb08686,699,1,7
4cac98c9-c4dd-44b5-84d9-f8196e8e4cd1,850,217,7
9568c7cc-bbff-44d8-a106-b406b0094ced,592,28,1
aed082ab-aeb0-49bd-9dc8-f4de56a759b5,686,261,8
902ae02a-b499-4164-bc3f-ffb9d9fb3b03,592,427,3
d0fbdc85-6a71-4fce-a0c8-1555103c2111,153,479,8
2986a247-b74a-4382-89dc-37c9eae7be30,109,372,6
9cfe02ee-6e0a-485d-8ffb-80e89ea23e62,232,67,7
660b238a-78b8-4e70-90db-96807f1364ef,395,303,5
5d008f60-8bd7-4105-a6b1-00c4b4535429,899,24,1
46e2aef1-a277-4557-9c29-07dc175a5278,653,41,2
e3e9509e-55f3-4c52-a6d1-c28f231e4ab3,188,48,9
510b328a-6f3d-446b-940a-5d371941cd00,454,405,9
b470e385-8db4-45e5-ad6b-54e63f7bd891,11,151,1
ca8d1fcf-b7de-4002-8ec7-1ee0eb65a99a,507,52,7
6bdb5029-1587-4c49-a530-040a8ff81ee7,58,374,3
cf774087-1ff1-4d57-824b-69f962befe70,49,289,6
531f9f86-c9cd-4cd9-ae71-9c31c17c70e9,849,327,4
e9c57b86-6657-443d-85ec-fcbbdc1e6be9,537,481,2
6f6f80c3-f689-484e-acbc-2bb9a07180b7,751,389,2
cbc43697-b788-4cff-800f-ef6d9e9e0ed5,745,145,4
47bb2672-4ba8-4518-b8f4-d6d1546f1a12,171,448,8
f8106e78-acdd-4d4e-9618-5ee41b45a233,60,262,2
44aa944c-6ed4-4b41-bd7c-99a62d150f38,498,54,2
53f46aa1-c378-4860-a096-1bb1e3602133,772,26,8
582042b4-69c8-4e60-84af-5525a36399bc,224,292,4
6316a17a-1589-4d81-9a69-40bef3132bce,437,178,2
4a04a867-85a1-4702-8659-75b6b39e06ea,144,441,4
0c69c55b-703d-469c-a442-094048c68270,931,181,9
54de1777-bef2-442b-92ca-2076f9ecdb7e,561,270,4
ef666622-ebd5-4231-9a3b-2877ea48ed23,627,75,1
8b630ce6-85d2-41a3-b823-2bb3467f1d1a,604,389,4
b0664874-a8d7-42d2-9253-a05fd78ca864,331,32,4
9fe10745-5958-42cc-ae01-4336776b0f84,785,465,6
14b762de-0b54-42b0-adeb-0d9df7082a12,371,102,9
2fa1484b-0eda-41db-8c43-1393b5c07f2d,557,270,7
9fd76e35-a784-43e2-8249-8b644bec1f5f,929,131,1
7d2c397b-7fa5-4e2f-97ff-8731d681efb9,402,133,4
324b153b-274e-4d38-8193-55451b867f5b,752,348,6
7a2be3e4-3886-4c9a-80b6-19e40623b5d9,238,196,3
bb87c339-74d7-4ca2-a5b9-0631bd1d2375,773,114,7
85424b1b-4dd2-4b4f-bee2-6aa54618a5a8,610,132,6
4fec327e-62bc-4f1b-8e0c-46367b8029b6,121,487,1
8cf13acb-4618-4f90-807d-be16dfdbb0a9,889,55,9
c08dc78c-8f20-4c07-b1fc-a78c0d117601,416,317,1
8182db97-d002-484e-8623-1a33dd327a5c,774,13,7
4116a367-2603-4068-84a8-562e36166f3f,466,447,3
71b5c0e5-1e4b-451c-ae4a-4f4512fde818,847,496,1
9894f1ba-c1a7-4743-8434-2e5ee7641cc5,472,378,3
02d94f6f-acca-47e0-8e9f-9643a92e8d89,29,50,3
b532da2d-6301-432e-b0ab-2de0fcaef1c3,615,422,7
5eaad125-7170-427e-8316-c35772bcc95d,260,86,4
57f7678d-c919-47fc-9fa4-10f924010bd1,960,158,3
3f5f922f-a389-4750-aaee-a9b322ff928d,382,387,9
d5fb550e-b138-4632-be26-0fabdc436d8f,570,260,1
7b90ba55-e6f8-4c9e-9a2b-70fe8d4deb24,352,46,1
87decd8c-0568-4f62-9a21-5ae28d906ffb,459,199,4
cedcd3cd-2f65-48fa-b82b-0a1ba18fc13b,524,64,5
cbf5c2fa-7fef-485a-ab89-5aa61fe05ef1,401,28,7
aeb3c634-7139-4c93-89e7-e1d317ac8a32,590,8,6
d646e587-ac8e-4a15-aa3d-2e0695789486,682,449,7
fe915f65-2da1-4fcb-a6a7-242c597c163a,59,24,4
0933fec1-7902-4bef-b80e-49228ccfdeeb,200,63,9
4ed724be-42f6-464b-8371-d2ee5e1777e4,640,211,2
ea9e9ceb-e046-411c-b8ce-20c234e0a6aa,524,179,7
4034c9b9-3cb0-4278-bbf9-ddc3fc5284aa,364,63,1
05c8cf85-5253-4cff-aed2-e332308b4d1a,286,363,7
1fb85414-3a14-430b-85b4-1e85a04390d4,940,467,8
cf757bcc-3ab9-48db-add6-f36ada73ca72,950,9,2
19d2b87f-4196-459e-a453-8b92ef2ea4ff,260,319,6
97514fb2-b47d-4249-b514-2b430afc29ad,619,442,3
4b63371d-f9a3-415f-9291-86d3d27166a4,515,169,3
bf0edbd3-cb7e-438e-84d7-4ad0ed195cd7,574,307,4
5e4690f9-552b-4f19-9a4f-6791973fe62a,258,267,3
24e3f91e-e879-47a9-9d8d-14c9f1d28f57,551,174,8
43051748-2b14-407e-abb9-747d35642330,703,191,3
fa3f3eb9-4e13-4440-b48a-7127c2edf675,304,158,6
56f25c08-a5b4-44ad-854f-f00237222531,912,417,9
326a40be-f4b5-48bc-9ce7-77d434f022fd,624,176,4
7ca2e379-e35e-4554-8610-30380f8bac4c,901,376,7
f541c622-c202-4e85-837b-0cc888fcead4,243,141,4
c46093c3-e8bb-42f3-9715-ad0e1ab2d3fd,987,166,2
d4a7f3b0-6bed-4174-ada6-e25a8e0a7daa,523,473,7
e2f0070c-54c7-47cc-9de3-c035ae10dbf5,327,1,4
a339c913-d9c1-46fa-a735-d76cd159829e,187,340,3
ef64ab4f-dc83-4e65-b17d-18b9ec9b767e,413,302,6
bae6df71-a0a1-4b1f-989c-baec238cb293,770,92,7
440ffb08-2514-412f-bec5-ec14c9180f60,429,308,7
05988a8e-d5c9-4054-aba0-63377f02b6c5,676,399,3
d92ec827-ae02-49c1-a452-53324b982f7c,953,407,3
ecb52a92-410f-4691-a110-8443a7198a26,25,358,8
4e0e6954-302a-41e8-a56d-b0c32ddd29b0,379,190,8
3ed25dca-9e7d-4bb4-9c6e-91828365c9a6,852,397,4
b0be4317-9668-49b5-b8c6-f6af7e127cad,885,153,8
2de4bf63-745b-496c-8680-90e141f15bf7,920,308,6
3cc91857-d7e6-43de-9b0f-4b899d91d6f3,460,213,2
5a874a0d-7ca7-449e-af97-df6391b91161,930,265,4
6a914542-90f1-48cd-b664-9d379f9e4cb1,781,209,3
39450dee-2de2-4fc6-8d66-5b34eb7ccfcf,123,470,6
910a99e5-483d-4008-8943-ec60ab441592,39,500,7
acf367fa-d973-4885-81c2-fdc12a67c130,690,291,9
f010239c-6fe4-4261-9009-58d22ecb6145,519,440,8
a44a9c60-5dbc-4079-a2d1-dde45eaffe02,693,50,4
35524e75-2760-4477-b883-779d5fbd229d,154,284,1
a019aae7-cb28-49bc-a7d8-c7fc98440254,402,283,5
1962cb6e-b8a5-4343-b5fb-bfa55d209562,970,406,4
8d81d56b-072b-4a3d-83f9-fc51f8966be8,818,100,3
906003bd-9e8d-4ff1-85a9-4a58421f0bd3,609,11,9
23e4b543-0eff-4478-b654-23a68571cd42,268,87,9
444b8b78-f256-4f94-ad52-00474b79b64a,800,244,6
0e107bbb-f2e0-4a6e-bb2e-5c989e775d13,629,218,8
f1d8faa9-ef10-4fa6-8af8-05ac0f268f72,502,157,4
967f4435-743a-4642-b7a9-58a16804a238,673,346,2
5fed0ee7-1a9f-4ac6-b03f-690c0db9498b,632,26,8
11ec07f3-80dd-4dc0-b06f-613513d78f6d,684,468,2
96849569-f7ca-47c8-95f2-43fad01498c7,461,385,4
e0ecf5af-2e18-4e0e-83a3-3e0fa173d31b,96,494,2
b6af3960-1292-465a-83bf-9019ca20ebd0,845,160,6
74d1bd7d-2dc7-493b-8489-67ef283aec6a,269,199,8
44d8531e-2ecb-4108-9416-1858db97ca07,492,325,1
9383101c-b90a-4dbf-a6f4-9faf3c1e3ea4,627,213,6
f942f51d-0964-4648-84ad-61e0f56d2cb1,912,498,3
65824255-7b7f-43cb-b202-0bdc55814c44,232,347,2
55b79149-b20c-48b4-ba44-f8fcd9d46c5a,58,176,1
b6b29f71-2850-4a08-ac44-df18279a94b7,400,133,9
0d324f0b-dbc0-4c25-86c2-3f9ed1dff754,54,403,3
93cb447e-53d0-4de9-97d6-88f145d4c217,816,255,9
99f36182-1934-40b0-8c7e-db0746504a38,481,181,7
85435559-c78d-4a35-a409-823559442a88,227,265,7
6318c646-f564-4037-8ef9-e95a89e5c431,771,175,1
89c8f338-3676-4c85-b174-2306543711af,473,306,4
d10abc20-be69-4672-8945-67525e29d48e,357,72,4
02cf073b-b230-4edf-90e2-67c8300c73f0,981,62,8
3dfa7bd0-d02a-4357-8112-4bfa4fd6e8ae,315,79,9
23ffe144-eab9-4c5e-8a9a-10c599522d81,202,421,4
9a4a93a8-17d2-4ed0-ab9b-08675544671a,480,425,3
49d7bbb1-4397-4820-917a-1a6d1a96a1c7,546,14,6
0cacbcb9-2ad8-491f-808e-e5fbe087ba10,23,497,8
2ffe845f-aac9-4cbc-a269-e8ad0a8b657c,540,321,6
e28adc4b-9c45-4afd-8555-92ff50b19617,414,269,7
a4f28abd-8f79-4a68-8a36-fe49c0355e4c,484,245,6
8a268230-f2c9-4677-9008-735f3de22719,642,49,2
604d3aea-9c30-4f65-9809-e8b4bd829861,995,47,4
617a6fb2-c67c-4db0-8ebf-38f742c1b07e,730,478,5
84242915-bac5-48b8-a0d5-97cf9af34fde,827,194,8
e805ae53-5c73-4f18-bbaa-497396e3e290,881,314,2
4aeb4489-024d-4b0e-95cd-8b73ca893c49,965,278,4
cfc51171-301d-4a57-b84f-a8dade1a2a19,868,27,9
f5a27a60-3744-4499-a670-c2d6ceeae0e0,553,263,8
23d23203-8a9e-4c51-8eaf-b96574d39c70,554,453,3
e5a6bd66-1cdd-410d-883c-9660e1646147,150,112,6
2c6938af-2045-45c6-ad5e-b9f4f7596fa7,162,133,2
8a9372df-626e-42d4-a97a-340239f6fb87,145,441,3
4ef605c1-2692-4a91-a15d-cfc5eae43f74,984,390,9
24177b60-df1a-41fb-884f-96d5e10f3f51,778,204,3
58c44558-6179-40cd-91fd-f86a35fdd96c,328,230,7
10057bcf-ecef-40c1-aaea-05409ee749df,420,268,5
52f0c7aa-e89c-41af-b63e-6ecdd689e0a2,804,117,5
9f196760-d61f-4d78-8861-5b013b1ecc07,877,223,8
098cee86-2547-478e-9820-8a25675ec032,619,198,4
0706a511-0d1b-4b51-a7d7-26474c15574f,28,425,9
31031e40-b703-4749-a410-8ee33fa7b712,66,155,7
fb07941c-828f-4459-ae56-92af28ba0ebf,125,230,7
9df2d0a8-8c8f-4182-9498-baa4270bcdd4,210,9,2
b5390a9d-9363-4052-903e-f920dd2be575,658,203,2
7bb8b277-63ca-41ee-9e30-54d2ed02a1e6,379,163,3
03bd7204-8234-4af4-9974-6917549e9a8e,489,214,6
a02f40ea-9e12-46cb-ad6c-df433e811977,94,339,4
fd797484-175e-45fd-9335-b2a175e9795e,862,221,6
0f208270-50c3-416d-a209-5413dc2e6631,442,141,5
c58eec5d-ca02-4057-a790-f6b39d94434e,397,66,3
df491514-f9d5-430b-8278-9acc6bede89a,858,362,4
edb00e34-e8ac-4420-828d-009fa6ed6358,104,403,7
ba3d8dfa-3200-4a91-a2ba-1c0948ce3dfe,715,160,9
36a5e714-7ac8-4fc3-ba3b-1bc6679b613a,171,343,4
15703b68-695d-4141-b39c-8cca287239dc,757,376,3
3947926c-5e08-46ea-9d1c-f4882238c1e1,110,382,3
8ee9d1be-a2b6-4106-bb31-0a85d4a734b6,612,260,1
344fcdbe-9539-4522-a398-29c33a5323ad,398,260,1
0f1d85fc-e8ff-47fb-b717-89ee7c0b3bf1,992,449,5
ba1dbe5c-8f52-4a69-aed3-edaf110ce023,217,349,6
1127593c-886e-48e8-bbde-33af5540ea2d,295,67,1
67dba82e-199a-4da1-a6a0-49f3a54c6cc3,927,309,5
03b000e1-f5bc-4910-bac4-eef42cc692a8,527,387,5
809b7cb4-cbbe-463a-a73b-d6232984c1b0,226,254,3
8c981a7c-54a2-4364-a97d-2bfcaf911283,70,144,4
cc8d0a30-9c25-4bb0-8496-5c0b41a1c089,203,411,6
c7a7fe4f-0844-4d40-afe1-2d6d082dac6f,584,379,6
bb38fef7-96b3-442e-a7c9-b396e2a67def,549,110,9
67b8825f-b77b-49d1-96cd-a4ace1748196,603,244,7
16c6664e-3f48-4429-afcc-318a283d663f,400,133,9
440ea159-d519-4421-9457-7daef363e0db,655,341,4
5cc69dcb-34ad-4028-adf9-c33162eccfa4,278,472,2
1d5334ab-5e44-4340-83ba-b2d17ddb314d,678,67,3
532b84c3-005f-4175-bcb4-2b3c20fcb19c,17,215,9
3a50e0f9-1f7f-43f7-82d7-6a538e633404,19,241,9
d05ff992-e091-4c30-a05c-d0865db315ae,557,477,5
df5f4582-cf9b-424b-9006-cf12e9b8acc7,818,282,1
474f4c66-7e0b-41a7-b113-544a1456d8fa,385,175,2
ec71940a-88c8-4d01-b130-2c8b6b12efe2,861,336,6
603e092c-6b54-4413-8871-bb93ccf3c463,601,416,7
46062955-5063-4ec8-a3c5-9b4b6a8c8730,434,341,5
77770a28-5697-4758-9ffb-f622eb3c140b,15,303,2
5aea3fa8-f326-40c1-a2dd-20b1da25d867,172,408,5
f9aaeae2-fd70-48a7-aebd-4087dee67c86,347,229,7
23ad5f6f-10ab-4413-86ca-38c190d4a973,653,339,4
028c0b9c-5158-4131-8fbd-a5ef38487869,731,19,1
edea4ca1-465b-4c85-a3bc-0331437d21f5,282,259,8
d76fe6e9-16af-4046-9858-54ee42037ad4,794,184,5
b0756eba-3b3f-443b-bbb4-765d1821efee,710,258,1
55db7811-4a6f-46f3-b5cf-793df63bf110,207,276,3
b95b8faa-7088-403c-b4db-4d2b4ce9eed9,260,263,7
03c7d618-6599-4e0f-b67c-5fb61acf74cb,264,254,9
ee603d76-7538-4b09-884e-c8b01fa07cde,761,109,2
84e83c54-eb49-4c68-9a77-7dd2c4bdf219,783,362,9
39c11864-81c0-4ef8-8de2-972dca399a29,281,424,9
d8ed84ed-c5b3-4f9a-a9cb-fe3435e04032,286,149,6
e0691125-ec2a-4abe-b8bb-af8e65f534aa,123,172,8
435b607c-9fc0-4e84-ab1f-2bb86708cc15,42,123,4
971c92ab-6579-4338-90be-8db172b21aa1,848,6,1
d5a7218c-d9e8-43d1-9a90-a7be662b4c06,90,3,1
71fe5958-9a7f-4ea6-90e2-5d7c67e0e234,156,94,7
9be7481e-ea6b-470d-b9bc-f9f10f3963b8,330,444,7
323b96b0-c253-46c1-b65d-33e6232dcf72,668,119,2
a9ddeb3c-618a-4196-82b0-b266ff46094a,205,340,4
6dcfc23f-ae92-46a5-a16e-6bd5d56d0e64,668,486,8
4feb2cdb-3933-4ecf-abb7-d8f54f32b232,415,334,5
c3525cce-57a7-4ef3-becb-13acf43f5990,750,438,9
649023d9-8bcd-44fb-9933-d1613deabc33,327,135,9
6a4c5b42-b6ff-4460-bd7f-2a24db84bb72,509,232,8
059e877d-8603-4e41-9ef0-1862bd8ebade,802,476,7
f52f08ef-a34e-44d0-a070-96c1c4d7b3b8,649,180,4
fed8148a-d911-4c31-ba2e-f1c713cedf1a,483,96,3
295ffe36-f92a-439a-a9d1-b6595f1d7b73,985,254,8
427326cd-c770-41b7-ab79-7efc834b9a46,752,498,4
160e3342-0190-4a04-b49f-dce69820f136,241,130,3
bada8a13-22ad-425a-ac1c-f44a33d6ed63,248,179,9
f87772af-9132-43b1-b599-be707df02875,103,222,9
60170e9e-b3f4-474d-b22d-bc26fe099032,238,22,5
33fb5295-0f8d-4dd6-bd6f-696a40a2479b,3,482,4
775abfaf-2261-465a-b89e-982fd31354e4,480,425,9
379f207a-3b70-4a79-9edc-1e9f318b2164,991,24,4
c465f89d-157a-449f-b2f3-81e1275436a1,772,221,9
8c65a17e-6de7-4f9a-957e-3cf07240bd5c,914,325,1
6e18c1c1-2920-4637-8f83-47f80552d3f4,668,355,5
69ca3ef8-7646-442e-a8ef-f209a284b9f0,579,17,1
d17e1531-0124-44dc-b0ad-27e51b4315b3,11,454,9
af729050-23f5-4a9a-89e8-d57bcf70eb40,443,85,1
7813d8db-ac79-490e-9774-83cef4c745fe,947,311,6
dd4d5d78-6be6-4cec-893d-d2fd0b6f2a40,636,350,9
a1776133-48ad-4710-a4d1-2d2fcb26b276,781,422,8
86871f3e-ea86-4b7b-a860-6a70093fccd2,279,166,5
e6950da2-6f26-40e5-a189-58bf8619a9fa,968,328,6
a136380a-ab13-4a0f-bcf2-1a349386dbf9,384,51,1
8227abfd-79bf-4807-a589-31a53d48c434,393,429,6
19f12bde-5e8d-4447-a4cf-3d8611b80f39,670,3,7
29e62140-e7da-441d-81bc-62e791e491b2,566,456,6
e95e1770-e953-4a81-8c30-bd0e0bdeb7cd,874,42,2
c1dbde59-6fad-4a27-8807-5fec10d32753,707,325,6
b117c185-2047-4706-ae38-e619f56e87ef,184,120,2
9cdcf600-2ae5-4f1e-bb6f-329cb71b6411,436,429,2
d97697e3-ebd3-4658-b6ec-79151f4678d9,889,355,2
78e9bf2a-b263-43a3-a037-f38219526ba0,305,213,9
0d3af1c9-a0c7-4578-a670-3e96debacb43,279,300,7
bf1c1dbe-d3b5-4f8f-a7e2-645607337546,318,211,1
da1197dd-83c2-4559-914f-1fca730393d3,872,451,6
4b2ed76f-4b13-47d7-9b1e-1761fcc4187d,988,88,8
1887206d-f8f4-442e-ba70-fa220f3b8ba3,93,399,2
0975390c-fb39-455d-b333-034ebaafdd25,336,171,8
67a79445-5e96-44df-ae9f-61b33ac1c560,244,293,1
03cdcddb-00b8-42b2-b6b5-70bdac6689c9,271,68,2
de128ad7-b749-4784-9d61-3adc949721c3,874,301,1
9262c68c-eaea-45cc-937e-c3146d9ae6e0,596,388,6
196b271f-9f5e-4615-b894-527c96f20264,516,41,8
fe1ab189-4948-4a1f-ad34-bad8de12788f,298,47,1
9d1d1af6-fa37-4271-a06f-fae8b12e20e3,333,378,3
e218dde9-da6c-45b0-a21a-8de1d29d08d1,9,292,4
09fb67b9-8df4-44c1-9156-5ee524a9d4c9,93,346,2
0dc23d47-5b4d-446c-98ea-e55f251110ad,753,7,7
1d43c58a-943d-4c37-bc07-62cb3e7cad94,638,456,6
26e3ceb9-a694-407b-b7b5-d677800bd989,286,424,6
7f10fe1b-5064-49bd-b946-5b7ea7f2297c,729,332,9
4c5dcfcf-0d86-480b-8130-0229ab91d9cb,838,34,7
282589e9-5e31-47a8-8780-194f6a6fef7b,415,208,1
21939e25-6061-4644-bb97-7b12b95b2b51,601,212,8
4eaa89ad-4f97-4f60-a7bf-e6f1ab672a12,648,96,3
da16f49b-2d0c-47d2-a8d3-7fe92d63d7aa,70,400,4
e7bff8c0-4f0c-4260-a966-52e839f71f4b,301,466,2
4b81c641-9538-45a5-b967-f18e3a53131f,264,311,8
b11919b9-9034-4539-acc0-5475c47988cc,368,51,5
6ae3464e-ef88-42e2-9076-92dec37a929c,964,376,7
107bbbab-5134-414f-9eb4-31e66f012f9e,58,323,2
b4594009-8ca1-483b-b80d-43dd9f014735,863,101,9
4ef82d97-7b83-41be-8b0d-eef085fecbfd,682,425,4
31f67604-5b74-4ae0-8e35-8e30a4d0c4e1,812,50,9
8a154c36-ff7f-40d8-b8f7-5b6860456f38,59,411,7
1825f370-d82c-4b6f-a3d3-daf69569b6d6,81,150,3
38c509bc-6e5c-436c-9948-7e2e3e0d4871,963,47,6
3d88529f-7877-4d3b-9570-587a71bf8194,421,263,5
aeaefa9c-c717-4c6c-97ff-8bf920799f35,108,97,6
1ab92474-c28e-45e4-8576-1ab69bdc9675,897,340,4
fcf7b6db-e9d7-49fb-ba83-fccf90492fa6,304,441,5
1ce63a64-08ef-4003-addf-70b7abc92108,737,150,8
8b864284-bce7-4145-9ebe-09a6bc89cbb2,181,163,1
00ca87ec-fce1-4317-b985-f5578202d23d,269,133,7
6581bd3d-58da-46f2-aa75-93757178e171,749,195,2
f93e9198-c0b9-40f4-bb3c-de7e28c69912,592,113,1
fae035f1-f20e-47bd-a41f-bec524cf14b2,91,23,5
9197dc33-e240-4e80-bcfa-a69259de3c1e,692,427,4
48ecf348-a73f-40d6-9960-145ae73215ab,552,255,3
af66a2ad-27e7-491a-8ef7-33bf3e3cd5a9,429,42,3
f5af0d39-5e50-41c0-9e7e-4bf791a0e6ec,890,353,6
b425594a-da36-4820-9324-4a30281819e1,467,267,4
e6e492e4-571a-47db-b9d3-f06563149951,722,169,8
c44945fa-5f04-4abc-9606-ef6c8a7e98df,259,358,4
4a4b44c5-dbd1-4289-82b4-8284718d7ad4,444,26,3
05c642ad-fbbb-48a1-8487-889cd9562c00,393,316,5
01d79626-806b-4210-9f60-f636022a27e0,558,292,2
1a937ebc-3e0d-4fba-b71f-65ad7423f5ac,744,151,3
d1800fc2-c058-47bc-8c86-909477bf5b3e,285,376,1
7289752a-5b83-45ae-ba83-2fc6150cbf90,559,419,5
1afec833-c713-4587-8b00-1178690433e8,295,478,2
40f66112-373d-4e2d-9144-25803cd72d7c,660,395,6
1dd40ff5-e49a-4e1e-bb01-2746c321caf9,939,16,7
e9d97ff3-51d8-4671-886f-1aeaeb20bf31,682,55,7
102d942d-dcec-4cb7-a97f-bd30a98d29f3,859,239,2
1f3b8930-75a4-43c3-9135-78942634c4dd,217,74,7
74c3d636-3748-4395-96b7-ed4f2a25130f,570,69,9
75d001c3-7767-4811-9af2-bd76e37f7dda,405,428,6
6668a727-945e-49aa-9eeb-9e27099ef3e3,1000,378,6
2b16c997-690a-483c-81c5-2d3cf3706788,925,96,7
a133dd5e-e0c5-436b-a187-4af99beb3f42,797,426,4
a13540dc-e9d9-4050-b75e-b3c0bd317c01,756,385,5
11ee3ba0-848f-4ef5-a5d4-3155fac54f9a,902,217,3
5c516311-6cb0-4e8a-a23e-64102c8947dc,23,200,9
072e74fc-885f-45b0-a471-e4176c43383a,375,79,2
3339034e-956a-4c15-bdaf-5676c70ec20b,521,172,5
aa265486-094c-416b-8c03-9d06f1e1b7bd,662,483,4
edbeebe8-6f2e-4e7f-992c-9219a5fc1c26,723,456,5
4ec867ef-06f8-4458-8a18-69cf9a1067b3,736,304,3
696a01d9-c628-44b7-a733-a6676de32440,74,164,3
c28c95dd-97ea-46e7-9c22-c282bbe99049,936,314,2
1e3ed02e-5e44-49e0-8897-b4972a0070de,671,373,6
21914533-df38-47a9-b248-3954fb2718ae,834,300,6
